JUSTINBRAVO,-250.0,fixed_amount,1,,Active,2019-09-03 12:38:45 -0400,2019-09-30 23:59:59 -0400
CYBER,-150.0,fixed_amount,0,,Active,2019-08-27 08:34:42 -0400,
VERGE,-150.0,fixed_amount,0,,Active,2019-08-27 08:32:49 -0400,
WAYPOINT,-150.0,fixed_amount,1,,Active,2019-08-27 05:28:44 -0400,
HOWTO,-150.0,fixed_amount,0,,Active,2019-08-27 05:28:04 -0400,
VERGECAST,-150.0,fixed_amount,0,,Active,2019-08-27 05:26:59 -0400,
WEEDS,-150.0,fixed_amount,0,,Active,2019-08-27 05:24:53 -0400,
EZRA,-150.0,fixed_amount,0,,Active,2019-08-27 05:24:21 -0400,
ALLFANTASY,-150.0,fixed_amount,0,,Active,2019-08-27 05:23:16 -0400,
SR150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:49 -0400,2019-10-01 23:59:59 -0400
SH150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:06 -0400,2019-10-01 23:59:59 -0400
MV150,-150.0,fixed_amount,0,,Active,2019-09-01 15:17:23 -0400,2019-10-01 23:59:59 -0400
LG150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:42 -0400,2019-10-01 23:59:59 -0400
JV150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:03 -0400,2019-10-01 23:59:59 -0400
JS150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:19 -0400,2019-10-01 23:59:59 -0400
EM150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:12 -0400,2019-10-01 23:59:59 -0400
AG150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:12 -0400,2019-10-01 23:59:59 -0400
AC150,-150.0,fixed_amount,0,,Active,2019-09-01 00:00:58 -0400,2019-10-01 23:59:59 -0400
2PILLOW,-100.0,percentage,0,,Active,2019-08-19 17:52:16 -0400,
LABORDAYGB,0.0,fixed_amount,311,,Active,2019-08-15 17:06:05 -0400,
TESTGB,-100.0,percentage,0,,Active,2019-08-15 16:39:39 -0400,
23ANDME,-600.0,fixed_amount,0,,Active,2019-08-15 15:33:59 -0400,
MDS150,-150.0,fixed_amount,1,,Active,2019-08-13 18:20:55 -0400,
8SARAMC,-150.0,fixed_amount,2,20,Active,2019-08-08 21:36:44 -0400,
8GABRIELS,-150.0,fixed_amount,0,20,Active,2019-08-08 21:32:53 -0400,
8MOSHEL,-150.0,fixed_amount,0,20,Active,2019-08-08 21:29:07 -0400,
TUCK150,-150.0,fixed_amount,31,,Active,2019-08-07 16:27:53 -0400,
SLEEP150,-150.0,fixed_amount,7,,Active,2019-08-06 10:54:11 -0400,
JAY,-150.0,fixed_amount,0,,Active,2019-08-05 05:49:41 -0400,
EVENTURES6,-1400.0,fixed_amount,1,1,Active,2019-07-31 17:41:04 -0400,
COOL4,-150.0,fixed_amount,1,,Active,2019-07-30 17:59:31 -0400,
COOL3,-150.0,fixed_amount,17,,Active,2019-07-30 17:58:17 -0400,
COOL2,-150.0,fixed_amount,2,,Active,2019-07-30 17:57:20 -0400,
COOL1,-150.0,fixed_amount,2,,Active,2019-07-30 17:44:06 -0400,
EVENTURES5,-1400.0,fixed_amount,1,1,Active,2019-07-30 16:09:50 -0400,
EVENTURES4,-1400.0,fixed_amount,1,1,Active,2019-07-30 16:09:16 -0400,
EVENTURES3,-1400.0,fixed_amount,0,1,Active,2019-07-30 16:08:47 -0400,
EVENTURES2,-1400.0,fixed_amount,0,1,Active,2019-07-30 16:07:02 -0400,
EVENTURES,-1400.0,fixed_amount,1,1,Active,2019-07-30 15:41:36 -0400,
GOODNIGHT,-250.0,fixed_amount,7,,Active,2019-07-26 10:48:19 -0400,
SMILE,-150.0,fixed_amount,0,,Active,2019-07-24 05:54:51 -0400,
LAUGH,-150.0,fixed_amount,0,,Active,2019-07-24 05:54:26 -0400,
PLAY,-150.0,fixed_amount,0,,Active,2019-07-24 05:54:01 -0400,
STORY,-150.0,fixed_amount,4,,Active,2019-07-24 05:52:55 -0400,
TALK,-150.0,fixed_amount,0,,Active,2019-07-24 05:51:47 -0400,
SHOWFIELDSFREE,-100.0,percentage,0,,Active,2019-07-17 10:46:55 -0400,
COOL,-150.0,fixed_amount,0,,Active,2019-07-29 11:41:22 -0400,
PHAM,-250.0,fixed_amount,1,,Active,2019-07-11 21:42:46 -0400,
ADAM,-150.0,fixed_amount,1,,Active,2019-07-08 13:31:03 -0400,
CART,-150.0,fixed_amount,8,,Active,2019-07-08 10:47:44 -0400,
Mijiantest,-2544.0,fixed_amount,1,,Active,2019-06-28 17:17:39 -0400,
MONEY,-150.0,fixed_amount,0,,Active,2019-06-27 11:46:15 -0400,
BURN,-150.0,fixed_amount,0,,Active,2019-06-27 11:45:09 -0400,
VSIN,-150.0,fixed_amount,1,,Active,2019-06-27 11:44:21 -0400,
GAME,-150.0,fixed_amount,0,,Active,2019-06-27 11:43:05 -0400,
BULWARK,-150.0,fixed_amount,1,,Active,2019-06-27 11:41:37 -0400,
THOM,-150.0,fixed_amount,0,,Active,2019-06-27 11:39:26 -0400,
COOL150,-150.0,fixed_amount,0,,Active,2019-06-24 15:14:41 -0400,
BELMONT,-250.0,fixed_amount,0,,Active,2019-06-21 18:44:36 -0400,
AUTHENTECH,-150.0,fixed_amount,9,,Active,2019-06-20 13:02:37 -0400,
FRIENDOF8,-150.0,fixed_amount,0,,Active,2019-06-20 11:26:27 -0400,
8MATTEO200,-200.0,fixed_amount,0,,Active,2019-06-14 10:43:59 -0400,
GIRL150,-150.0,fixed_amount,0,,Active,2019-06-12 18:40:21 -0400,
SLEEPWALKERS,-150.0,fixed_amount,0,,Active,2019-06-06 07:37:59 -0400,
MEMORY,-150.0,fixed_amount,1,,Active,2019-06-06 07:37:27 -0400,
TBTL,-150.0,fixed_amount,1,,Active,2019-06-06 07:21:50 -0400,
GIST,-150.0,fixed_amount,0,,Active,2019-06-06 07:21:08 -0400,
MANLINESS,-150.0,fixed_amount,1,,Active,2019-06-06 07:20:31 -0400,
OUTKICK,-150.0,fixed_amount,0,,Active,2019-06-05 04:56:29 -0400,
DOUBT,-150.0,fixed_amount,0,,Active,2019-06-05 04:55:52 -0400,
LOVE,-150.0,fixed_amount,0,,Active,2019-06-05 04:53:56 -0400,
THEORY,-150.0,fixed_amount,0,,Active,2019-06-05 04:28:59 -0400,
NBA,-150.0,fixed_amount,0,,Active,2019-06-05 04:27:57 -0400,
FINDINGMASTERY,-150.0,fixed_amount,14,,Active,2019-05-28 17:47:18 -0400,
SHARMA250,-250.0,fixed_amount,0,20,Active,2019-05-24 07:16:55 -0400,
GREGMARTINEZ,-250.0,fixed_amount,5,,Active,2019-05-22 15:16:21 -0400,
FGX800,-800.0,fixed_amount,2,20,Active,2019-05-15 20:37:31 -0400,2019-09-30 00:00:00 -0400
SAMSUNG125,-125.0,fixed_amount,2,,Active,2019-05-16 07:08:32 -0400,
VALPAK,-150.0,fixed_amount,1,,Active,2019-05-07 20:12:16 -0400,
INVESTOR,-150.0,fixed_amount,0,,Active,2019-05-07 16:09:38 -0400,
SUPER,-150.0,fixed_amount,0,,Active,2019-05-07 16:08:42 -0400,
MARIA390,-390.0,fixed_amount,1,2,Active,2019-04-30 15:39:40 -0400,
SHOWFIELDS,-150.0,fixed_amount,7,,Active,2019-04-25 14:47:36 -0400,
COMEDY,-150.0,fixed_amount,0,,Active,2019-04-24 08:23:19 -0400,
AXIOS,-150.0,fixed_amount,1,,Active,2019-04-17 13:34:33 -0400,
DELIVERY,0.0,fixed_amount,12,,Active,2019-04-01 15:52:45 -0400,
BADCHRISTIAN,-150.0,fixed_amount,0,,Active,2019-03-26 17:56:00 -0400,
HEALTH,-150.0,fixed_amount,7,,Active,2019-03-25 21:35:16 -0400,
FRIENDS,-150.0,fixed_amount,0,,Active,2019-03-25 21:34:51 -0400,
BC,-150.0,fixed_amount,0,,Active,2019-03-25 21:21:18 -0400,
WORLD,-150.0,fixed_amount,0,,Active,2019-03-22 12:17:53 -0400,
TWENTY,-150.0,fixed_amount,0,,Active,2019-03-22 12:17:14 -0400,
20,-150.0,fixed_amount,0,,Active,2019-03-22 12:15:27 -0400,
TWIST,-150.0,fixed_amount,4,,Active,2019-03-15 17:22:31 -0400,
MINT20,-20.0,percentage,0,,Active,2019-03-14 17:30:16 -0400,
20FITNESS,-150.0,fixed_amount,1,,Active,2019-03-06 11:18:20 -0500,
Teacher Discount (do not delete or modify),-10.0,percentage,0,1,Active,2016-12-31 19:00:00 -0500,
FULL2QUEEN,-200.0,fixed_amount,8,,Active,2019-02-26 10:04:21 -0500,
TESTPULL,-100.0,fixed_amount,0,,Active,2019-02-25 05:07:45 -0500,
WOVE,-200.0,fixed_amount,17,,Active,2019-02-22 15:50:07 -0500,
SLEEPCOOL,-200.0,fixed_amount,8,,Active,2019-02-22 15:32:57 -0500,
SMARTBED100,-100.0,fixed_amount,193,,Active,2019-02-21 10:46:22 -0500,
SHERPA200,-200.0,fixed_amount,212,,Active,2019-02-21 09:40:01 -0500,
AFF150,-150.0,fixed_amount,494,,Active,2019-02-12 18:29:26 -0500,
BREW,-150.0,fixed_amount,20,,Active,2019-02-11 21:30:41 -0500,
TAI,-150.0,fixed_amount,1,,Active,2019-02-11 19:37:52 -0500,
JORDAN,-150.0,fixed_amount,8,,Active,2019-02-11 19:37:04 -0500,
JAMES,-150.0,fixed_amount,0,,Active,2019-02-11 19:34:37 -0500,
GREAT,-150.0,fixed_amount,2,,Active,2019-02-11 19:33:36 -0500,
CHARM,-150.0,fixed_amount,1,,Active,2019-02-11 19:32:43 -0500,
NEWS,-150.0,fixed_amount,17,,Active,2019-02-11 12:24:48 -0500,
SPORTS,-150.0,fixed_amount,4,,Active,2019-02-11 12:24:11 -0500,
PATRICK,-150.0,fixed_amount,1,,Active,2019-02-11 11:56:46 -0500,
HUSTLE,-150.0,fixed_amount,12,,Active,2019-02-11 11:53:23 -0500,
PRSUIT,-150.0,fixed_amount,0,,Active,2019-02-11 11:52:54 -0500,
FFPOD,-600.0,fixed_amount,94,,Active,2019-02-11 11:50:59 -0500,
MYPOD,-500.0,fixed_amount,30,,Active,2019-02-11 11:49:58 -0500,
GETPOD,-500.0,fixed_amount,97,,Active,2019-02-11 11:49:11 -0500,
TRACKPOD,-500.0,fixed_amount,6,,Active,2019-02-11 11:48:15 -0500,
IGGPOD,-500.0,fixed_amount,7,,Active,2019-02-11 11:46:18 -0500,
VIPPOD,-600.0,fixed_amount,7,,Active,2019-02-11 11:45:58 -0500,
REMPOD,-600.0,fixed_amount,7,,Active,2019-02-11 11:45:30 -0500,
JEFF250,-250.0,fixed_amount,0,1,Active,2019-01-29 10:58:54 -0500,2019-12-29 00:00:00 -0500
300ONETIME,-300.0,fixed_amount,0,1,Active,2019-01-14 14:13:43 -0500,
2019SLEEP,-150.0,fixed_amount,28,,Active,2019-01-03 03:38:24 -0500,
CM-200,-200.0,fixed_amount,144,,Active,2018-11-25 14:13:51 -0500,
BF-100,-100.0,fixed_amount,114,,Active,2018-11-22 07:56:03 -0500,
PRE-BF-100,-100.0,fixed_amount,21,,Active,2018-11-19 10:24:09 -0500,
TRUESELF100,-100.0,fixed_amount,0,,Active,2018-10-29 18:26:21 -0400,
JOURNIEST100,-100.0,fixed_amount,0,,Active,2018-10-29 18:25:44 -0400,
GEARBRAIN100,-100.0,fixed_amount,0,,Active,2018-10-29 18:24:58 -0400,
POPDUST100,-100.0,fixed_amount,0,,Active,2018-10-29 18:23:36 -0400,
TOPDUST100,-100.0,fixed_amount,0,,Active,2018-10-29 14:37:25 -0400,
FRIENDS-FAMILY-100,-100.0,fixed_amount,187,,Active,2018-10-22 11:41:47 -0400,
SUITEVISIT10118,-100.0,fixed_amount,1,1,Active,2018-10-03 13:34:36 -0400,
WYNDELL100,-100.0,fixed_amount,0,1,Active,2018-09-24 18:00:12 -0400,
ANDRIYSTEST,-100.0,percentage,13,,Active,2018-09-19 12:39:13 -0400,
SLUMBERYARD,-50.0,fixed_amount,0,,Active,2018-09-05 11:28:30 -0400,
RIZKNOWS,-50.0,fixed_amount,0,,Active,2018-09-05 11:27:33 -0400,
ANDRIYTEST2,-100.0,percentage,93,,Active,2018-08-29 16:48:17 -0400,
ELEVATE250,-250.0,fixed_amount,0,,Active,2018-08-27 09:54:00 -0400,
BURLESON100,-100.0,fixed_amount,0,,Active,2018-08-24 09:33:30 -0400,
Dockweiler100,-100.0,fixed_amount,0,,Active,2018-08-24 09:27:11 -0400,
BOS100,-100.0,fixed_amount,0,,Active,2018-08-24 09:18:16 -0400,
TESTA100,-100.0,fixed_amount,0,,Active,2018-08-23 11:12:10 -0400,
ACCESS100,-100.0,fixed_amount,0,,Active,2018-08-13 16:59:26 -0400,
NOSWEAT,-50.0,fixed_amount,14,,Active,2018-08-09 10:31:28 -0400,
XB01D0VB1AAK,-150.0,fixed_amount,0,1,Active,2018-08-09 10:29:55 -0400,
BMORG75,-75.0,fixed_amount,0,,Active,2018-08-08 14:02:04 -0400,
BMORG50,-50.0,fixed_amount,0,,Active,2018-08-07 16:13:07 -0400,
14PE258QCTZA,-150.0,fixed_amount,0,1,Active,2018-08-05 13:19:42 -0400,
NOWELL100,-100.0,fixed_amount,0,,Active,2018-08-03 09:18:20 -0400,
CHILL50,-50.0,fixed_amount,84,,Active,2018-07-27 13:48:20 -0400,
NB50,-50.0,fixed_amount,0,,Active,2018-07-20 17:53:09 -0400,
PROTECT20,-20.0,fixed_amount,5,,Active,2018-06-28 09:16:37 -0400,
UPSLOPE225,-225.0,fixed_amount,0,,Active,2018-06-20 19:35:06 -0400,
VSTR84658074,-50.0,fixed_amount,0,1,Active,2018-06-23 23:30:00 -0400,
TUCK50,-50.0,fixed_amount,24,,Active,2018-06-08 11:38:15 -0400,
AZURECEO2018,-200.0,fixed_amount,0,,Active,2018-06-02 09:20:57 -0400,
SD50,-50.0,fixed_amount,0,,Active,2018-05-21 17:27:01 -0400,
Student Discount (do not delete or modify),-10.0,percentage,198,1,Active,2016-12-31 19:00:00 -0500,
MAY50,-50.0,fixed_amount,2,,Active,2018-05-07 12:32:35 -0400,
TRELLIS_F&F,-100.0,fixed_amount,0,3,Active,2018-05-07 12:30:07 -0400,
TRYMATTRESS,-50.0,fixed_amount,0,,Active,2018-05-02 10:25:33 -0400,
SWAMI,-50.0,fixed_amount,0,,Active,2018-05-01 17:59:32 -0400,
COUPONUSER25,-25.0,fixed_amount,0,,Active,2018-04-16 10:42:53 -0400,
TMFRIENDS,-250.0,fixed_amount,1,,Active,2018-04-10 14:27:27 -0400,
Q31HQKCPZ0NJ,-75.0,fixed_amount,1,,Active,2018-03-21 13:07:40 -0400,
REFER75,-75.0,fixed_amount,0,,Active,2018-03-21 11:44:31 -0400,
Refer A Friend $75 off,-75.0,fixed_amount,0,1,Active,2018-03-15 15:28:00 -0400,
A1PADF5BSG7P,-100.0,fixed_amount,0,,Active,2018-03-13 19:06:13 -0400,
50GAPJKTG49D,-100.0,fixed_amount,0,,Active,2018-03-13 18:21:49 -0400,
SPRINGBED,-50.0,fixed_amount,0,,Active,2018-03-12 15:31:17 -0400,
WELCOME25,-25.0,fixed_amount,3,,Active,2018-03-12 13:02:44 -0400,
SUITEVIP75,-75.0,fixed_amount,3,,Active,2018-03-09 19:00:44 -0500,
S4CMDKBB962Y,-200.0,fixed_amount,0,1,Active,2018-03-09 18:56:28 -0500,
SLEEPAFF25,-25.0,fixed_amount,162,,Active,2018-03-09 13:49:08 -0500,
NSZJ5C8AYZBA,-100.0,fixed_amount,0,,Active,2018-03-07 19:56:15 -0500,
H7K3QZVA3HM3,-30.0,percentage,0,,Active,2018-03-06 16:00:26 -0500,
BounceX $50 off mattresses (final),-50.0,fixed_amount,516,1,Active,2018-03-05 10:35:00 -0500,
SITEISSUE50,-50.0,fixed_amount,1,5,Active,2018-03-01 16:17:21 -0500,
COOL25LAB,-25.0,fixed_amount,2,,Active,2018-03-01 11:19:17 -0500,
BounceX $50 off mattresses,-50.0,fixed_amount,0,,Active,2018-02-20 16:34:00 -0500,
DRCS5J9YYTXV,-20.0,percentage,0,1,Active,2018-02-17 11:30:12 -0500,
Saturn+ NPS - 50% off accessories,-50.0,percentage,1,1,Active,2018-02-13 12:30:00 -0500,
BSI125,-125.0,fixed_amount,0,,Active,2018-02-10 12:42:11 -0500,
BSI250,-250.0,fixed_amount,10,,Active,2018-02-10 12:41:10 -0500,
EIGHT50,-50.0,fixed_amount,4,,Active,2018-02-09 17:53:14 -0500,
NPS-BLISS,-50.0,percentage,1,1,Active,2018-02-09 14:33:00 -0500,
SURVEY50,-50.0,percentage,7,,Active,2018-01-26 17:15:33 -0500,
Purchaser Survey,-50.0,percentage,0,1,Active,2018-01-26 15:44:00 -0500,
SLEEPZOO,-50.0,fixed_amount,1,,Active,2018-01-22 15:40:28 -0500,
MM50,-50.0,fixed_amount,0,,Active,2018-01-16 18:19:15 -0500,
3C68BGG2RKW2,-100.0,percentage,3,10,Active,2018-01-16 06:23:50 -0500,
STUEMAIL10,-10.0,percentage,4,,Active,2018-01-14 08:02:03 -0500,
MILEMAIL10,-10.0,percentage,0,,Active,2018-01-14 07:54:16 -0500,
PILLOW25,-25.0,fixed_amount,3,,Active,2018-01-10 13:17:33 -0500,
FOUNDATION20,-20.0,percentage,1,,Active,2018-01-10 06:21:53 -0500,
SUSTAINABLE,-50.0,fixed_amount,0,,Active,2017-12-24 15:14:07 -0500,
MARCH100,-100.0,fixed_amount,0,,Active,2018-03-12 00:00:00 -0400,
MARCH50,-50.0,fixed_amount,0,,Active,2018-03-01 00:00:00 -0500,
FEB,-50.0,fixed_amount,0,,Active,2018-02-26 00:00:00 -0500,
TRACKER,-100.0,fixed_amount,99,,Active,2017-12-15 12:39:13 -0500,
JOSH250,-250.0,fixed_amount,0,1,Active,2017-12-09 22:32:10 -0500,
GALVANIZE125,-125.0,fixed_amount,0,,Active,2017-12-07 09:07:37 -0500,
ACCESS30,-30.0,percentage,10,,Active,2017-12-06 12:27:34 -0500,
ZEUS30,-30.0,percentage,1,1,Active,2017-12-05 13:38:37 -0500,
SHHH,-50.0,fixed_amount,0,,Active,2017-11-30 11:50:45 -0500,
TETA,-150.0,fixed_amount,5,,Active,2017-11-21 16:17:50 -0500,
PERKSPOT,-12.0,percentage,43,,Active,2017-11-20 15:37:44 -0500,
LITTLEDUCKS50,-50.0,fixed_amount,0,,Active,2017-11-14 13:52:41 -0500,
Military Discount (do not delete or modify),-10.0,percentage,247,1,Active,2016-12-31 19:00:00 -0500,
STUDENT15,-15.0,percentage,3,,Active,2017-10-04 12:08:00 -0400,
MILITARY15,-15.0,percentage,1,,Active,2017-10-04 12:07:48 -0400,
WIKIBUY,-50.0,fixed_amount,4,,Active,2018-04-24 10:40:48 -0400,
FRIENDS125,-125.0,fixed_amount,3,,Active,2017-09-19 13:21:51 -0400,
PREORDER,-37.5,fixed_amount,0,,Active,2017-09-19 11:45:26 -0400,
10OFF-2d8238d,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-2739b88,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-d3fbfd7,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-eb1d542,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-8cacdad,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-2a94467,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-507ea28,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-f12823d,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-beeddfa,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-f4ff325,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
10OFF-183da38,-10.0,percentage,0,1,Active,2017-09-10 18:29:23 -0400,
